M,N,K,ALPHA,BETA
192,65536,1728,1,1
4096,1,25088,1,1
128,65536,1152,1,1
192,36864,1728,1,1
128,50176,1152,1,1
128,36864,1152,1,1
2048,225,18432,1,1
64,65536,576,1,1
256,14400,2304,1,1
2816,49,12672,1,1
64,50176,576,1,1
328,9216,2952,1,1
128,43264,576,1,1
64,43264,576,1,1
136,160000,27,1,1
128,36864,576,1,1
192,12544,1728,1,1
1536,196,13824,1,1
64,36864,576,1,1
256,57600,147,1,1
512,3600,4608,1,1
2048,144,9216,1,1
64,57600,288,1,1
384,9216,1728,1,1
3072,64,6144,1,1
2048,49,9216,1,1
3072,49,6144,1,1
1024,900,9216,1,1
128,14400,1152,1,1
32,57600,288,1,1
2560,49,6912,1,1
128,25600,576,1,1
128,65536,147,1,1
64,50176,288,1,1
2816,144,5632,1,1
192,50176,147,1,1
64,25600,576,1,1
128,12544,1152,1,1
2560,100,5760,1,1
64,43264,288,1,1
2560,49,5760,1,1
192,65025,27,1,1
128,10816,1152,1,1
24,57600,216,1,1
128,50176,147,1,1
192,12544,864,1,1
384,3136,3456,1,1
256,9216,1152,1,1
64,36864,288,1,1
768,2304,3456,1,1
256,14400,576,1,1
1280,16,9216,1,1
128,9216,1152,1,1
1536,144,6912,1,1
32,36864,288,1,1
128,16384,576,1,1
768,784,6912,1,1
72,112896,27,1,1
160,12544,720,1,1
72,112225,27,1,1
256,4096,2304,1,1
128,22500,360,1,1
64,30976,288,1,1
384,4096,2048,1,1
64,50176,147,1,1
64,16384,576,1,1
160,6400,1440,1,1
1408,196,6336,1,1
128,14400,576,1,1
32,57600,144,1,1
1024,64,9216,1,1
128,65025,27,1,1
1024,49,9216,1,1
192,9216,864,1,1
2048,49,4608,1,1
1024,16,9216,1,1
128,22500,288,1,1
1280,4096,768,1,1
1024,49,8640,1,1
136,56169,27,1,1
192,14400,432,1,1
64,25600,288,1,1
128,12544,576,1,1
24,36864,216,1,1
32,50176,144,1,1
128,12321,576,1,1
96,16384,432,1,1
2048,49,4096,1,1
256,3136,2304,1,1
384,3136,2048,1,1
128,6400,1152,1,1
32,25600,288,1,1
64,90000,27,1,1
16,50176,147,1,1
64,89401,27,1,1
1024,4096,768,1,1
192,36864,27,1,1
64,12544,576,1,1
16,50176,144,1,1
192,36481,27,1,1
1024,576,4608,1,1
64,22500,288,1,1
256,9216,576,1,1
64,36864,147,1,1
232,3136,2088,1,1
128,10816,576,1,1
512,2304,2304,1,1
64,21609,288,1,1
32,43264,144,1,1
64,3136,2304,1,1
64,35721,147,1,1
128,10609,576,1,1
48,3136,2304,1,1
44,3136,2304,1,1
40,3136,2304,1,1
32,3136,2304,1,1
30,3136,2304,1,1
1024,49,6804,1,1
18,3136,2304,1,1
64,20736,288,1,1
384,3136,1728,1,1
80,16384,360,1,1
32,21609,288,1,1
768,4096,768,1,1
768,196,6912,1,1
96,12544,432,1,1
32,20736,288,1,1
128,9216,576,1,1
32,36864,144,1,1
128,9025,576,1,1
1408,576,2816,1,1
512,784,4608,1,1
192,3136,1728,1,1
