M,N,K,ALPHA,BETA
320,1369,360,1,1
56,12544,27,1,1
233,196,2304,1,1
232,196,2304,1,1
232,196,2295,1,1
235,196,2277,1,1
64,784,1152,1,1
448,49,2016,1,1
256,169,2304,1,1
384,169,1728,1,1
320,64,2592,1,1
1024,256,588,1,1
225,196,2304,1,1
32,3136,288,1,1
78,784,1098,1,1
85,784,1080,1,1
96,3136,216,1,1
32,16900,27,1,1
192,49,4096,1,1
128,2304,288,1,1
217,196,2304,1,1
192,784,864,1,1
192,4096,48,1,1
216,196,2295,1,1
214,196,2304,1,1
768,256,768,1,1
32,16641,27,1,1
152,196,2736,1,1
56,3136,252,1,1
48,1024,864,1,1
32,16384,27,1,1
40,14400,27,1,1
256,3136,48,1,1
32,784,1152,1,1
256,961,588,1,1
256,144,2304,1,1
384,576,768,1,1
201,196,2304,1,1
40,14161,27,1,1
30,3136,270,1,1
48,12544,27,1,1
192,1369,432,1,1
768,225,768,1,1
144,3136,147,1,1
80,784,1008,1,1
190,196,2304,1,1
320,784,608,1,1
191,196,2277,1,1
1024,196,588,1,1
128,256,2304,1,1
512,144,1280,1,1
640,49,1280,1,1
144,196,2592,1,1
384,900,432,1,1
768,784,192,1,1
256,121,2304,1,1
96,49,6144,1,1
80,784,963,1,1
181,196,2277,1,1
192,1296,432,1,1
768,196,768,1,1
128,784,864,1,1
28,3136,252,1,1
128,576,1152,1,1
128,3136,147,1,1
96,1225,576,1,1
175,196,2259,1,1
176,196,2250,1,1
42,12544,27,1,1
32,14400,27,1,1
256,100,2304,1,1
40,12544,27,1,1
155,196,2304,1,1
156,196,2295,1,1
48,3136,216,1,1
32,14161,27,1,1
24,16384,27,1,1
96,784,864,1,1
288,576,768,1,1
64,2304,288,1,1
288,64,2304,1,1
112,3136,147,1,1
512,196,1024,1,1
192,256,1728,1,1
26,3136,234,1,1
149,196,2277,1,1
54,784,918,1,1
40,3136,216,1,1
159,196,2196,1,1
320,196,1440,1,1
384,784,432,1,1
154,196,2196,1,1
768,256,588,1,1
141,196,2286,1,1
160,196,2151,1,1
149,196,2196,1,1
384,576,588,1,1
584,64,1152,1,1
216,784,608,1,1
96,3136,147,1,1
144,729,768,1,1
192,576,864,1,1
156,196,2106,1,1
112,1156,504,1,1
224,900,504,1,1
384,49,1728,1,1
128,484,1152,1,1
192,3136,48,1,1
88,784,792,1,1
256,729,576,1,1
256,64,2304,1,1
192,49,3072,1,1
512,49,1280,1,1
32,12544,27,1,1
56,3600,147,1,1
49,784,837,1,1
64,3481,144,1,1
256,784,512,1,1
32,12321,27,1,1
128,4096,48,1,1
320,196,1280,1,1
512,256,768,1,1
224,400,1008,1,1
119,196,2205,1,1
256,49,2304,1,1
48,3600,147,1,1
192,196,1728,1,1
16,16384,27,1,1
96,729,768,1,1
192,576,768,1,1
40,3136,180,1,1
128,196,2070,1,1
16,16129,27,1,1
64,1024,576,1,1
96,196,2304,1,1
28,12544,27,1,1
152,784,608,1,1
80,784,720,1,1
320,64,1728,1,1
384,49,1536,1,1
288,196,1296,1,1
512,225,768,1,1
512,49,1152,1,1
64,3136,147,1,1
128,400,1152,1,1
320,196,1152,1,1
37,784,765,1,1
64,729,768,1,1
160,64,2880,1,1
352,49,1584,1,1
96,1156,432,1,1
192,784,512,1,1
32,3600,147,1,1
97,196,2142,1,1
512,196,768,1,1
24,12544,27,1,1
160,256,1440,1,1
64,3025,144,1,1
240,49,2160,1,1
64,1225,432,1,1
152,3136,48,1,1
24,12321,27,1,1
32,10609,27,1,1
128,784,576,1,1
176,196,1584,1,1
40,9216,27,1,1
64,2916,144,1,1
24,784,729,1,1
224,676,504,1,1
512,49,1024,1,1
126,196,1782,1,1
96,4096,48,1,1
40,3136,147,1,1
320,196,1024,1,1
20,12544,27,1,1
384,256,768,1,1
192,400,864,1,1
448,196,768,1,1
192,784,432,1,1
256,196,1152,1,1
18,3136,162,1,1
432,196,768,1,1
32,3136,147,1,1
256,900,288,1,1
192,2304,48,1,1
192,576,588,1,1
112,49,3456,1,1
224,49,2016,1,1
128,3136,48,1,1
32,3136,144,1,1
384,225,768,1,1
64,2601,144,1,1
320,49,1440,1,1
32,9216,27,1,1
160,196,1440,1,1
160,1024,320,1,1
16,12544,27,1,1
24,3136,147,1,1
64,784,576,1,1
192,729,432,1,1
32,9025,27,1,1
256,841,288,1,1
16,12321,27,1,1
80,4096,48,1,1
192,784,384,1,1
384,784,192,1,1
48,3136,117,1,1
32,8836,27,1,1
384,196,768,1,1
48,1024,432,1,1
80,256,1440,1,1
16,3136,144,1,1
60,784,540,1,1
13,12544,27,1,1
32,8464,27,1,1
256,784,288,1,1
160,841,360,1,1
384,400,432,1,1
208,49,1872,1,1
12,12544,27,1,1
320,49,1280,1,1
128,576,576,1,1
128,256,1152,1,1
384,256,588,1,1
256,729,288,1,1
64,2209,144,1,1
56,784,504,1,1
224,196,1008,1,1
64,49,4096,1,1
256,121,1152,1,1
160,784,360,1,1
10,12544,27,1,1
96,3136,48,1,1
96,784,432,1,1
192,64,1728,1,1
256,49,1440,1,1
288,49,1296,1,1
192,576,432,1,1
14,3136,126,1,1
8,12544,27,1,1
52,784,468,1,1
48,196,1728,1,1
160,784,320,1,1
48,1225,288,1,1
288,256,640,1,1
128,484,576,1,1
88,784,396,1,1
128,2304,48,1,1
224,196,864,1,1
80,3136,48,1,1
32,1225,288,1,1
128,196,1152,1,1
216,196,864,1,1
256,196,768,1,1
48,784,432,1,1
16,9216,27,1,1
24,7744,27,1,1
48,4096,48,1,1
320,49,1024,1,1
320,196,640,1,1
384,49,864,1,1
208,196,864,1,1
16,9025,27,1,1
64,256,1152,1,1
32,6400,27,1,1
192,1024,147,1,1
80,784,360,1,1
192,196,864,1,1
128,49,2048,1,1
120,196,1080,1,1
256,49,1152,1,1
128,784,288,1,1
44,784,396,1,1
96,289,864,1,1
224,400,432,1,1
128,400,576,1,1
64,3136,48,1,1
384,49,768,1,1
512,49,576,1,1
32,5776,27,1,1
128,729,288,1,1
192,196,768,1,1
352,49,792,1,1
128,784,256,1,1
160,64,1440,1,1
192,400,432,1,1
112,196,1008,1,1
32,4096,48,1,1
176,196,792,1,1
96,784,288,1,1
40,784,360,1,1
320,196,512,1,1
256,49,1024,1,1
240,49,1080,1,1
192,196,720,1,1
96,1024,192,1,1
192,256,588,1,1
256,196,576,1,1
224,49,1080,1,1
48,3136,48,1,1
112,400,504,1,1
104,196,936,1,1
96,784,256,1,1
128,625,288,1,1
24,4096,48,1,1
64,784,288,1,1
36,784,324,1,1
256,169,576,1,1
160,196,720,1,1
96,64,1728,1,1
256,196,512,1,1
320,49,720,1,1
128,400,432,1,1
40,3136,48,1,1
48,784,288,1,1
16,3136,72,1,1
60,784,270,1,1
128,196,768,1,1
96,196,864,1,1
32,196,1152,1,1
80,256,720,1,1
32,784,288,1,1
144,49,1296,1,1
128,529,288,1,1
304,64,640,1,1
96,400,432,1,1
320,49,640,1,1
96,784,192,1,1
30,784,270,1,1
88,196,792,1,1
152,196,608,1,1
216,49,864,1,1
160,196,576,1,1
28,784,252,1,1
144,196,576,1,1
80,196,720,1,1
80,64,1440,1,1
128,196,576,1,1
128,49,1152,1,1
384,49,432,1,1
25,196,909,1,1
192,196,432,1,1
64,1024,128,1,1
176,49,864,1,1
80,784,160,1,1
160,256,384,1,1
64,256,576,1,1
120,196,540,1,1
192,169,432,1,1
256,49,576,1,1
72,196,648,1,1
192,196,384,1,1
176,196,396,1,1
352,49,396,1,1
48,49,1728,1,1
240,49,540,1,1
112,49,1008,1,1
32,49,2048,1,1
32,2809,27,1,1
64,196,576,1,1
36,784,162,1,1
120,196,432,1,1
160,196,360,1,1
64,400,288,1,1
48,1024,96,1,1
60,196,540,1,1
320,49,360,1,1
160,196,320,1,1
96,196,432,1,1
96,64,864,1,1
18,784,162,1,1
32,784,144,1,1
160,49,640,1,1
56,196,504,1,1
144,49,648,1,1
152,49,608,1,1
16,784,144,1,1
64,49,1024,1,1
128,196,288,1,1
100,256,256,1,1
48,196,432,1,1
192,64,400,1,1
120,196,270,1,1
80,64,720,1,1
128,49,576,1,1
44,196,396,1,1
72,196,324,1,1
256,49,288,1,1
32,49,1152,1,1
40,196,360,1,1
168,64,352,1,1
240,49,270,1,1
88,256,192,1,1
64,196,288,1,1
128,49,432,1,1
36,196,324,1,1
32,196,288,1,1
144,49,324,1,1
64,196,216,1,1
30,196,270,1,1
72,196,162,1,1
128,49,288,1,1
64,196,144,1,1
48,196,144,1,1
144,49,162,1,1
18,196,162,1,1
16,196,144,1,1
128,49,144,1,1
